fpr,tpr
0.0,0.0
0.0,0.017543859649122806
0.0,0.40350877192982454
0.022988505747126436,0.40350877192982454
0.022988505747126436,0.43859649122807015
0.034482758620689655,0.43859649122807015
0.034482758620689655,0.5087719298245614
0.06896551724137931,0.5087719298245614
0.06896551724137931,0.5263157894736842
0.08045977011494253,0.5263157894736842
0.08045977011494253,0.5789473684210527
0.10344827586206896,0.5789473684210527
0.10344827586206896,0.6140350877192983
0.12643678160919541,0.6140350877192983
0.12643678160919541,0.6491228070175439
0.1724137931034483,0.6491228070175439
0.1724137931034483,0.6842105263157895
0.19540229885057472,0.6842105263157895
0.19540229885057472,0.7017543859649122
0.25287356321839083,0.7017543859649122
0.25287356321839083,0.7192982456140351
0.26436781609195403,0.7192982456140351
0.26436781609195403,0.7543859649122807
0.3103448275862069,0.7543859649122807
0.3103448275862069,0.7719298245614035
0.3218390804597701,0.7719298245614035
0.3218390804597701,0.8070175438596491
0.39080459770114945,0.8070175438596491
0.39080459770114945,0.8245614035087719
0.41379310344827586,0.8245614035087719
0.41379310344827586,0.8421052631578947
0.5287356321839081,0.8421052631578947
0.5287356321839081,0.8596491228070176
0.5517241379310345,0.8596491228070176
0.5517241379310345,0.9298245614035088
0.8620689655172413,0.9298245614035088
0.8620689655172413,0.9473684210526315
0.8735632183908046,0.9473684210526315
0.8735632183908046,0.9649122807017544
0.9195402298850575,0.9649122807017544
0.9195402298850575,0.9824561403508771
0.9540229885057471,0.9824561403508771
0.9540229885057471,1.0
1.0,1.0
