epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.6789862552569026,0.6451584313596997,0.5744047619047619,0.6309523809523809,0.5058823529411764,0.6825396825396826,0.581081081081081
2,0.6325649278504508,0.6389591637111846,0.6711309523809523,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.3333333333333333
3,0.5107225190315928,0.532116150926976,0.7529761904761905,0.75,0.7837837837837838,0.4603174603174603,0.58
4,0.41042395931712927,0.6918291916095075,0.8125,0.6964285714285714,0.8333333333333334,0.23809523809523808,0.37037037037037035
5,0.35220647878235295,0.6586132521430651,0.8630952380952381,0.7202380952380952,0.8636363636363636,0.30158730158730157,0.4470588235294118
6,0.2603443598463422,0.5765351504087448,0.8958333333333334,0.7559523809523809,0.72,0.5714285714285714,0.6371681415929203
7,0.1502539531128215,0.8367872380075001,0.9404761904761905,0.6488095238095238,0.5192307692307693,0.8571428571428571,0.6467065868263473
8,0.1621006132170026,0.8204443220581327,0.9300595238095238,0.7738095238095238,0.9032258064516129,0.4444444444444444,0.5957446808510638
9,0.13605627888492086,0.9558340848556587,0.9508928571428571,0.7083333333333334,0.5686274509803921,0.9206349206349206,0.703030303030303
10,0.09992912666694749,0.6703067338537603,0.96875,0.7797619047619048,0.76,0.6031746031746031,0.672566371681416
11,0.05987160772201605,0.9386364399854626,0.9776785714285714,0.7083333333333334,0.5729166666666666,0.873015873015873,0.6918238993710691
12,0.09233696966077246,0.879887833082605,0.9598214285714286,0.7440476190476191,0.6785714285714286,0.6031746031746031,0.6386554621848739
13,0.037994416896253824,0.7275192229786799,0.9880952380952381,0.7678571428571429,0.6818181818181818,0.7142857142857143,0.6976744186046512
14,0.005595704189631977,0.7557379223317617,1.0,0.8095238095238095,0.803921568627451,0.6507936507936508,0.7192982456140351
15,0.009913155424804981,0.801851432792665,0.9955357142857143,0.7857142857142857,0.7288135593220338,0.6825396825396826,0.7049180327868853
16,0.044634139771265575,0.7484164337317148,0.9895833333333334,0.75,0.647887323943662,0.7301587301587301,0.6865671641791045
17,0.017481990545569544,0.8864341135014824,0.9955357142857143,0.7797619047619048,0.7954545454545454,0.5555555555555556,0.6542056074766355
18,0.013823580166596608,0.9129472806983229,0.9955357142857143,0.8095238095238095,0.8163265306122449,0.6349206349206349,0.7142857142857143
19,0.04177853179724133,1.1483424227640389,0.9940476190476191,0.7083333333333334,0.5714285714285714,0.8888888888888888,0.6956521739130435
20,0.00895760377655582,0.9484539420116649,0.9970238095238095,0.8095238095238095,0.8297872340425532,0.6190476190476191,0.7090909090909091
