fpr,tpr
0.0,0.0
0.0,0.017543859649122806
0.0,0.5263157894736842
0.011494252873563218,0.5263157894736842
0.011494252873563218,0.5964912280701754
0.022988505747126436,0.5964912280701754
0.022988505747126436,0.6491228070175439
0.04597701149425287,0.6491228070175439
0.04597701149425287,0.6666666666666666
0.05747126436781609,0.6666666666666666
0.05747126436781609,0.7368421052631579
0.09195402298850575,0.7368421052631579
0.09195402298850575,0.7543859649122807
0.13793103448275862,0.7543859649122807
0.13793103448275862,0.7894736842105263
0.16091954022988506,0.7894736842105263
0.16091954022988506,0.8070175438596491
0.1839080459770115,0.8070175438596491
0.1839080459770115,0.8245614035087719
0.21839080459770116,0.8245614035087719
0.21839080459770116,0.8771929824561403
0.25287356321839083,0.8771929824561403
0.25287356321839083,0.8947368421052632
0.3103448275862069,0.8947368421052632
0.3103448275862069,0.9122807017543859
0.4942528735632184,0.9122807017543859
0.4942528735632184,0.9298245614035088
0.5057471264367817,0.9298245614035088
0.5057471264367817,0.9473684210526315
0.6206896551724138,0.9473684210526315
0.6206896551724138,0.9649122807017544
0.7126436781609196,0.9649122807017544
0.7126436781609196,0.9824561403508771
0.8045977011494253,0.9824561403508771
0.8045977011494253,1.0
1.0,1.0
