epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.7153876551559993,0.6842550990127382,0.5654761904761905,0.6309523809523809,0.45,0.15,0.225
2,0.659337383650598,0.6515650011244274,0.6339285714285714,0.6428571428571429,0.5,0.26666666666666666,0.34782608695652173
3,0.6466212144919804,0.6567434853031522,0.6339285714285714,0.5833333333333334,0.3076923076923077,0.13333333333333333,0.18604651162790697
4,0.6268241919931912,0.7126613358656565,0.6473214285714286,0.5059523809523809,0.3424657534246575,0.4166666666666667,0.37593984962406013
5,0.6279284262231418,0.6446511433238075,0.6413690476190477,0.6488095238095238,0.5294117647058824,0.15,0.23376623376623376
6,0.6151273931775775,0.5925470406100863,0.6741071428571429,0.6845238095238095,0.5714285714285714,0.4666666666666667,0.5137614678899083
7,0.5963890392865453,0.763640379621869,0.6919642857142857,0.5238095238095238,0.4180327868852459,0.85,0.5604395604395604
8,0.5837111952049392,0.7467964646362123,0.6949404761904762,0.5714285714285714,0.45161290322580644,0.9333333333333333,0.6086956521739131
9,0.5698690148336547,0.9545179071525732,0.7247023809523809,0.6488095238095238,1.0,0.016666666666666666,0.03278688524590164
10,0.5483608598865214,0.6943137021291823,0.7395833333333334,0.6785714285714286,1.0,0.1,0.18181818181818182
11,0.5523162336931342,0.7399036259878249,0.7276785714285714,0.5238095238095238,0.4180327868852459,0.85,0.5604395604395604
12,0.5408941558783963,0.9683446621611005,0.7351190476190477,0.3869047619047619,0.36645962732919257,0.9833333333333333,0.5339366515837104
13,0.5105490831746942,0.5709508079148474,0.7574404761904762,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.15151515151515152
14,0.4700538968401296,0.5598414316773415,0.7782738095238095,0.6726190476190477,1.0,0.08333333333333333,0.15384615384615385
15,0.512117878489551,0.7062908272658076,0.7559523809523809,0.6964285714285714,1.0,0.15,0.2608695652173913
16,0.4670321794138068,0.5786796542150634,0.7901785714285714,0.7142857142857143,0.875,0.23333333333333334,0.3684210526315789
17,0.47008332627869787,0.7689220905303955,0.7886904761904762,0.5535714285714286,0.4418604651162791,0.95,0.6031746031746031
18,0.44712739819217295,0.4442156556816328,0.7916666666666666,0.8214285714285714,0.96875,0.5166666666666667,0.6739130434782609
19,0.4550383545990501,0.6480090351154407,0.7976190476190477,0.7023809523809523,1.0,0.16666666666666666,0.2857142857142857
20,0.4373885097780398,0.42365690001419615,0.8005952380952381,0.8095238095238095,0.7413793103448276,0.7166666666666667,0.7288135593220338
