fpr,tpr
0.0,0.0
0.0,0.017543859649122806
0.0,0.08771929824561403
0.011494252873563218,0.08771929824561403
0.011494252873563218,0.3157894736842105
0.022988505747126436,0.3157894736842105
0.022988505747126436,0.3333333333333333
0.034482758620689655,0.3333333333333333
0.034482758620689655,0.3684210526315789
0.04597701149425287,0.3684210526315789
0.04597701149425287,0.38596491228070173
0.05747126436781609,0.38596491228070173
0.05747126436781609,0.49122807017543857
0.09195402298850575,0.49122807017543857
0.09195402298850575,0.5087719298245614
0.10344827586206896,0.5087719298245614
0.10344827586206896,0.5263157894736842
0.11494252873563218,0.5263157894736842
0.11494252873563218,0.543859649122807
0.12643678160919541,0.543859649122807
0.12643678160919541,0.7017543859649122
0.14942528735632185,0.7017543859649122
0.14942528735632185,0.7368421052631579
0.1724137931034483,0.7368421052631579
0.1724137931034483,0.7543859649122807
0.20689655172413793,0.7543859649122807
0.20689655172413793,0.7894736842105263
0.21839080459770116,0.7894736842105263
0.21839080459770116,0.8070175438596491
0.22988505747126436,0.8070175438596491
0.22988505747126436,0.8245614035087719
0.28735632183908044,0.8245614035087719
0.28735632183908044,0.8421052631578947
0.2988505747126437,0.8421052631578947
0.2988505747126437,0.8596491228070176
0.3103448275862069,0.8596491228070176
0.3103448275862069,0.8771929824561403
0.367816091954023,0.8771929824561403
0.367816091954023,0.9122807017543859
0.42528735632183906,0.9122807017543859
0.42528735632183906,0.9649122807017544
0.4482758620689655,0.9649122807017544
0.4482758620689655,0.9824561403508771
0.6781609195402298,0.9824561403508771
0.6781609195402298,1.0
1.0,1.0
