epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.7268715525666872,0.748112209496044,0.5848214285714286,0.625,0.0,0.0,0.0
2,0.5136730626580261,1.0164404532739095,0.7410714285714286,0.5714285714285714,0.4430379746835443,0.5555555555555556,0.49295774647887325
3,0.4342149965287674,1.5192507198523908,0.8035714285714286,0.4523809523809524,0.3971631205673759,0.8888888888888888,0.5490196078431373
4,0.17839735721991884,1.0877813129197984,0.9300595238095238,0.5535714285714286,0.44,0.6984126984126984,0.5398773006134969
5,0.22001720159979804,1.2813525211864285,0.9047619047619048,0.625,0.5,0.015873015873015872,0.03076923076923077
6,0.1119528403491824,1.0907453007641292,0.9613095238095238,0.6428571428571429,0.52,0.6190476190476191,0.5652173913043478
7,0.13602290911616624,2.278843801152626,0.9479166666666666,0.625,0.0,0.0,0.0
8,0.09759666758500748,0.9729029585917791,0.9598214285714286,0.6607142857142857,0.546875,0.5555555555555556,0.5511811023622047
9,0.08078789081039195,0.9816904133629232,0.9747023809523809,0.6666666666666666,0.6296296296296297,0.2698412698412698,0.37777777777777777
10,0.07942658953557145,1.2689644942680995,0.96875,0.5654761904761905,0.45901639344262296,0.8888888888888888,0.6054054054054054
11,0.08776824901967,2.6062094366973594,0.9598214285714286,0.625,0.0,0.0,0.0
12,0.0613119189514518,0.894432144505637,0.9791666666666666,0.6607142857142857,0.5319148936170213,0.7936507936507936,0.6369426751592356
13,0.02332915957387221,1.22048341787775,0.9910714285714286,0.7023809523809523,0.7241379310344828,0.3333333333333333,0.45652173913043476
14,0.03498305606436112,0.9469674836312022,0.9806547619047619,0.6369047619047619,0.5125,0.6507936507936508,0.5734265734265734
15,0.07775341517879583,0.9648600190356817,0.9717261904761905,0.6964285714285714,0.62,0.49206349206349204,0.5486725663716814
16,0.011414158207463472,1.226534356318769,0.9970238095238095,0.6785714285714286,0.5529411764705883,0.746031746031746,0.6351351351351351
17,0.046560848222725326,0.8010007367425022,0.9866071428571429,0.7619047619047619,0.7017543859649122,0.6349206349206349,0.6666666666666666
18,0.03598623754242865,0.8038560199950423,0.9925595238095238,0.7023809523809523,0.6511627906976745,0.4444444444444444,0.5283018867924528
19,0.0810039763524574,0.8111544847488403,0.96875,0.6845238095238095,0.5862068965517241,0.5396825396825397,0.5619834710743802
20,0.08047492679664477,1.0493605264595576,0.9717261904761905,0.7321428571428571,0.6875,0.5238095238095238,0.5945945945945946
