fpr,tpr
0.0,0.0
0.0,0.01694915254237288
0.0,0.15254237288135594
0.011494252873563218,0.15254237288135594
0.011494252873563218,0.288135593220339
0.022988505747126436,0.288135593220339
0.022988505747126436,0.6271186440677966
0.034482758620689655,0.6271186440677966
0.034482758620689655,0.847457627118644
0.05747126436781609,0.847457627118644
0.05747126436781609,0.9661016949152542
0.08045977011494253,0.9661016949152542
0.08045977011494253,0.9830508474576272
0.3333333333333333,0.9830508474576272
0.3333333333333333,1.0
1.0,1.0
