epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.7237569097252119,0.9238843218911261,0.5848214285714286,0.47023809523809523,0.3984375,0.8095238095238095,0.5340314136125655
2,0.670730532634826,0.6461841400180545,0.6071428571428571,0.6190476190476191,0.49523809523809526,0.8253968253968254,0.6190476190476191
3,0.6004521852093083,0.5648021832818076,0.6934523809523809,0.7083333333333334,0.5897435897435898,0.7301587301587301,0.6524822695035462
4,0.5583217459331665,0.6345011208738599,0.7395833333333334,0.5952380952380952,0.4793388429752066,0.9206349206349206,0.6304347826086957
5,0.46697473785440835,0.6120898790125336,0.7872023809523809,0.7678571428571429,0.9285714285714286,0.4126984126984127,0.5714285714285714
6,0.43965654584046987,0.4665658006533271,0.8065476190476191,0.7797619047619048,0.90625,0.4603174603174603,0.6105263157894737
7,0.3449352725209402,0.4581705136889858,0.8526785714285714,0.8452380952380952,0.7681159420289855,0.8412698412698413,0.803030303030303
8,0.29631093710417017,0.5750074263861669,0.8869047619047619,0.7857142857142857,0.9090909090909091,0.47619047619047616,0.625
9,0.22835698842425786,0.3763105374583531,0.9032738095238095,0.8392857142857143,0.8913043478260869,0.6507936507936508,0.7522935779816514
10,0.171129106828067,0.49439907188172494,0.9285714285714286,0.8333333333333334,0.972972972972973,0.5714285714285714,0.72
11,0.18135296013289398,1.0706477347938788,0.9360119047619048,0.5416666666666666,0.4485294117647059,0.9682539682539683,0.6130653266331658
12,0.17353015992280452,0.6902870831878057,0.9360119047619048,0.7261904761904762,0.639344262295082,0.6190476190476191,0.6290322580645161
13,0.12948918110175459,1.0576110544525796,0.9538690476190477,0.6964285714285714,0.5625,0.8571428571428571,0.6792452830188679
14,0.1061438560711741,0.3522702843017344,0.9583333333333334,0.8809523809523809,0.8115942028985508,0.8888888888888888,0.8484848484848485
15,0.030790693037401763,0.575807642103644,0.9925595238095238,0.8392857142857143,0.86,0.6825396825396826,0.7610619469026548
16,0.14526743910582376,1.3103381914552301,0.9494047619047619,0.6071428571428571,0.48717948717948717,0.9047619047619048,0.6333333333333333
17,0.09481350777856451,0.4929767426843422,0.9657738095238095,0.8333333333333334,0.8888888888888888,0.6349206349206349,0.7407407407407407
18,0.035929707620068384,0.4954941443661699,0.9910714285714286,0.875,0.875,0.7777777777777778,0.8235294117647058
19,0.08697659705475894,0.6196533233548204,0.9627976190476191,0.7380952380952381,0.7435897435897436,0.4603174603174603,0.5686274509803921
20,0.08047508104590677,0.7503374822016278,0.9702380952380952,0.7976190476190477,0.704225352112676,0.7936507936507936,0.746268656716418
