fpr,tpr
0.0,0.0
0.0,0.017543859649122806
0.0,0.5789473684210527
0.06896551724137931,0.5789473684210527
0.06896551724137931,0.631578947368421
0.09195402298850575,0.631578947368421
0.09195402298850575,0.6666666666666666
0.10344827586206896,0.6666666666666666
0.10344827586206896,0.6842105263157895
0.1839080459770115,0.6842105263157895
0.1839080459770115,0.7017543859649122
0.19540229885057472,0.7017543859649122
0.19540229885057472,0.7192982456140351
0.22988505747126436,0.7192982456140351
0.22988505747126436,0.7368421052631579
0.25287356321839083,0.7368421052631579
0.25287356321839083,0.7543859649122807
0.26436781609195403,0.7543859649122807
0.26436781609195403,0.7719298245614035
0.28735632183908044,0.7719298245614035
0.28735632183908044,0.7894736842105263
0.3333333333333333,0.7894736842105263
0.3333333333333333,0.8070175438596491
0.3563218390804598,0.8070175438596491
0.3563218390804598,0.8245614035087719
0.4367816091954023,0.8245614035087719
0.4367816091954023,0.8421052631578947
0.4942528735632184,0.8421052631578947
0.4942528735632184,0.8596491228070176
0.5402298850574713,0.8596491228070176
0.5402298850574713,0.8771929824561403
0.632183908045977,0.8771929824561403
0.632183908045977,0.8947368421052632
0.6551724137931034,0.8947368421052632
0.6551724137931034,0.9298245614035088
0.7126436781609196,0.9298245614035088
0.7126436781609196,0.9649122807017544
0.8505747126436781,0.9649122807017544
0.8505747126436781,0.9824561403508771
0.8850574712643678,0.9824561403508771
0.8850574712643678,1.0
1.0,1.0
