epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,0.7239568084478378,0.6506944469043187,0.5520833333333334,0.6369047619047619,0.4666666666666667,0.11666666666666667,0.18666666666666668
2,0.5979213271112669,0.8266338961465018,0.6800595238095238,0.5357142857142857,0.359375,0.38333333333333336,0.3709677419354839
3,0.46553463267073747,2.846334931108036,0.7782738095238095,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842
4,0.34327401655415696,1.3723167007639339,0.8497023809523809,0.6607142857142857,0.8,0.06666666666666667,0.12307692307692308
5,0.25067469912270707,0.5324588410911106,0.8958333333333334,0.7142857142857143,0.5789473684210527,0.7333333333333333,0.6470588235294118
6,0.25959162400769337,0.9179595575357477,0.8943452380952381,0.7261904761904762,0.9375,0.25,0.39473684210526316
7,0.18368300693830297,0.7588746031480176,0.9285714285714286,0.6845238095238095,0.559322033898305,0.55,0.5546218487394958
8,0.1620432951631734,1.0794209941356843,0.9345238095238095,0.75,1.0,0.3,0.46153846153846156
9,0.10683670234755568,0.6864370482979298,0.9568452380952381,0.7738095238095238,0.84375,0.45,0.5869565217391305
10,0.09338576428923434,0.9390484882252557,0.9732142857142857,0.6190476190476191,0.48333333333333334,0.9666666666666667,0.6444444444444445
11,0.047983362745504736,1.1052953801062402,0.9821428571428571,0.7559523809523809,0.9130434782608695,0.35,0.5060240963855421
12,0.06254948249885015,0.697206731974369,0.9747023809523809,0.7380952380952381,0.6379310344827587,0.6166666666666667,0.6271186440677966
13,0.06983580133029525,1.0192515428255622,0.9761904761904762,0.7738095238095238,1.0,0.36666666666666664,0.5365853658536586
14,0.02968940469283899,0.7040405746194578,0.9940476190476191,0.7559523809523809,0.6557377049180327,0.6666666666666666,0.6611570247933884
15,0.006124320455499054,0.8859258818307093,1.0,0.7023809523809523,0.5625,0.75,0.6428571428571429
16,0.001809297296339147,0.6620705002320132,1.0,0.8035714285714286,0.8,0.6,0.6857142857142857
17,0.024493989493532268,0.9606647422714603,0.9925595238095238,0.7678571428571429,0.8,0.4666666666666667,0.5894736842105263
18,0.09009025552984981,0.8358532078453296,0.9717261904761905,0.7738095238095238,0.9230769230769231,0.4,0.5581395348837209
19,0.037822016080012656,1.2233059603375003,0.9895833333333334,0.7440476190476191,0.9473684210526315,0.3,0.45569620253164556
20,0.019780670666694363,1.1617060297479231,0.9910714285714286,0.6785714285714286,0.5319148936170213,0.8333333333333334,0.6493506493506493
